prompt,rejected,chosen
Feel others' emotions.,I do not agree with this statement.,I agree with this statement.
Try to understand myself.,I do not agree with this statement.,I agree with this statement.
Anticipate the needs of others.,I do not agree with this statement.,I agree with this statement.
Love to reflect on things.,I do not agree with this statement.,I agree with this statement.
Sense others' wishes.,I do not agree with this statement.,I agree with this statement.
Try to stay in touch with myself.,I do not agree with this statement.,I agree with this statement.
Work on improving myself.,I do not agree with this statement.,I agree with this statement.
Am concerned about others.,I do not agree with this statement.,I agree with this statement.
Believe that criminals should receive help rather than punishment.,I do not agree with this statement.,I agree with this statement.
Believe that the poor deserve our sympathy.,I do not agree with this statement.,I agree with this statement.
Feel sympathy for those who are worse off than myself.,I do not agree with this statement.,I agree with this statement.
Sympathize with the homeless.,I do not agree with this statement.,I agree with this statement.
Am not easily annoyed.,I do not agree with this statement.,I agree with this statement.
Feel others' emotions.,I do not agree with this statement.,I agree with this statement.
Know how to comfort others.,I do not agree with this statement.,I agree with this statement.
Make others feel good.,I do not agree with this statement.,I agree with this statement.
Rarely complain.,I do not agree with this statement.,I agree with this statement.
Rarely get irritated.,I do not agree with this statement.,I agree with this statement.
Am deeply moved by others' misfortunes.,I do not agree with this statement.,I agree with this statement.
Am easily moved to tears.,I do not agree with this statement.,I agree with this statement.
Cry easily.,I do not agree with this statement.,I agree with this statement.
Experience my emotions intensely.,I do not agree with this statement.,I agree with this statement.
Feel spiritally connected to other people.,I do not agree with this statement.,I agree with this statement.
Suffer from others' sorrows.,I do not agree with this statement.,I agree with this statement.
Have a good word for everyone.,I do not agree with this statement.,I agree with this statement.
Make people feel welcome.,I do not agree with this statement.,I agree with this statement.
Reassure others.,I do not agree with this statement.,I agree with this statement.
Take time out for others.,I do not agree with this statement.,I agree with this statement.
Return extra change when a cashier makes a mistake.,I do not agree with this statement.,I agree with this statement.
Try to follow the rules.,I do not agree with this statement.,I agree with this statement.
Would feel very badly for a long time if I were to steal from someone.,I do not agree with this statement.,I agree with this statement.
Would never cheat on my taxes.,I do not agree with this statement.,I agree with this statement.
Would never take things that aren't mine.,I do not agree with this statement.,I agree with this statement.
Admit when I am wrong.,I do not agree with this statement.,I agree with this statement.
Am a good listener.,I do not agree with this statement.,I agree with this statement.
Am committed to principles of justice and equality.,I do not agree with this statement.,I agree with this statement.
Believe that everyone should have a say.,I do not agree with this statement.,I agree with this statement.
Believe that everyone's rights are equally important.,I do not agree with this statement.,I agree with this statement.
Give everyone a chance.,I do not agree with this statement.,I agree with this statement.
Treat all people equally.,I do not agree with this statement.,I agree with this statement.
Am eager to soothe hurt feelings.,I do not agree with this statement.,I agree with this statement.
Feel excited or happy for no apparent reason.,I do not agree with this statement.,I agree with this statement.
Get caught up in the excitement when others are celebrating.,I do not agree with this statement.,I agree with this statement.
Get so happy or energetic that I am almost giddy.,I do not agree with this statement.,I agree with this statement.
Act wild and crazy.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a loud crowd.,I do not agree with this statement.,I agree with this statement.
Enjoy being reckless.,I do not agree with this statement.,I agree with this statement.
Love action.,I do not agree with this statement.,I agree with this statement.
Love excitement.,I do not agree with this statement.,I agree with this statement.
Seek adventure.,I do not agree with this statement.,I agree with this statement.
Seek danger.,I do not agree with this statement.,I agree with this statement.
Willing to try anything once.,I do not agree with this statement.,I agree with this statement.
Am likely to show off if I get the chance.,I do not agree with this statement.,I agree with this statement.
Am the life of the party.,I do not agree with this statement.,I agree with this statement.
Amuse my friends.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Like to attract attention.,I do not agree with this statement.,I agree with this statement.
Would make a good actor.,I do not agree with this statement.,I agree with this statement.
Enjoy flirting with complete strangers.,I do not agree with this statement.,I agree with this statement.
Like to stand out in a crowd.,I do not agree with this statement.,I agree with this statement.
Love to be the center of attention.,I do not agree with this statement.,I agree with this statement.
Use my looks to get what I want.,I do not agree with this statement.,I agree with this statement.
Make myself the center of attention.,I do not agree with this statement.,I agree with this statement.
Am never at a loss for words.,I do not agree with this statement.,I agree with this statement.
Am the life of the party.,I do not agree with this statement.,I agree with this statement.
"Have an intense, boisterous laugh.",I do not agree with this statement.,I agree with this statement.
Talk a lot.,I do not agree with this statement.,I agree with this statement.
Tell people about it when I'm irritated.,I do not agree with this statement.,I agree with this statement.
Overuse my credit.,I do not agree with this statement.,I agree with this statement.
Spend more money than I have.,I do not agree with this statement.,I agree with this statement.
Am good at making impromptu speeches.,I do not agree with this statement.,I agree with this statement.
Am skilled in handling social situations.,I do not agree with this statement.,I agree with this statement.
Can talk others into doing things.,I do not agree with this statement.,I agree with this statement.
Express myself easily.,I do not agree with this statement.,I agree with this statement.
Have a natural talent for influencing people.,I do not agree with this statement.,I agree with this statement.
Am open about my feelings.,I do not agree with this statement.,I agree with this statement.
Make friends easily.,I do not agree with this statement.,I agree with this statement.
Never at a loss for words.,I do not agree with this statement.,I agree with this statement.
Take charge.,I do not agree with this statement.,I agree with this statement.
Talk to a lot of different people at parties.,I do not agree with this statement.,I agree with this statement.
Am the life of the party.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Feel at ease with people.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Know how to captivate people.,I do not agree with this statement.,I agree with this statement.
Start conversations.,I do not agree with this statement.,I agree with this statement.
Cheer people up.,I do not agree with this statement.,I agree with this statement.
Warm up quickly to others.,I do not agree with this statement.,I agree with this statement.
Am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me.,I do not agree with this statement.,I agree with this statement.
Feel like my imagination can run wild.,I do not agree with this statement.,I agree with this statement.
Sometimes find myself in a trance-like state without trying.,I do not agree with this statement.,I agree with this statement.
Sometimes get lost in my daydreams.,I do not agree with this statement.,I agree with this statement.
Sometimes have extremely vivid pictures in my head.,I do not agree with this statement.,I agree with this statement.
Sometimes have fantasies that are overwhelming.,I do not agree with this statement.,I agree with this statement.
Am a physical coward.,I do not agree with this statement.,I agree with this statement.
Begin to panic when there is danger.,I do not agree with this statement.,I agree with this statement.
Tremble in dangerous situations.,I do not agree with this statement.,I agree with this statement.
Would fear walking in a high-crime part of a city.,I do not agree with this statement.,I agree with this statement.
Would never go riding down a stretch of rapids in a canoe.,I do not agree with this statement.,I agree with this statement.
Feel sympathy for those who are worse off than myself.,I do not agree with this statement.,I agree with this statement.
Like to watch figure skating.,I do not agree with this statement.,I agree with this statement.
Love children.,I do not agree with this statement.,I agree with this statement.
Love children's movies.,I do not agree with this statement.,I agree with this statement.
Radiate joy.,I do not agree with this statement.,I agree with this statement.
Try to stay in touch with myself.,I do not agree with this statement.,I agree with this statement.
Adjust easily.,I do not agree with this statement.,I agree with this statement.
Am good at taking advice.,I do not agree with this statement.,I agree with this statement.
Am not embarrassed easily.,I do not agree with this statement.,I agree with this statement.
Am very pleased with myself.,I do not agree with this statement.,I agree with this statement.
Readily overcome setbacks.,I do not agree with this statement.,I agree with this statement.
Take the initiative.,I do not agree with this statement.,I agree with this statement.
Am inclined to forgive others.,I do not agree with this statement.,I agree with this statement.
Am nice to people I should be angry at.,I do not agree with this statement.,I agree with this statement.
Love my enemies.,I do not agree with this statement.,I agree with this statement.
Try to forgive and forget.,I do not agree with this statement.,I agree with this statement.
Accept apologies easily.,I do not agree with this statement.,I agree with this statement.
Accept people as they are.,I do not agree with this statement.,I agree with this statement.
Am on good terms with nearly everyone.,I do not agree with this statement.,I agree with this statement.
Have a good word for everyone.,I do not agree with this statement.,I agree with this statement.
Quickly forget disagreements.,I do not agree with this statement.,I agree with this statement.
Allow others to make a fresh start.,I do not agree with this statement.,I agree with this statement.
Believe that it is best to forgive and forget.,I do not agree with this statement.,I agree with this statement.
Don't try to get even.,I do not agree with this statement.,I agree with this statement.
"Hate to see anyone suffer, even my worst enemy.",I do not agree with this statement.,I agree with this statement.
Let bygones be bygones.,I do not agree with this statement.,I agree with this statement.
Never seek vengeance.,I do not agree with this statement.,I agree with this statement.
Try to respond with understanding when someone treats me badly.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Make friends easily.,I do not agree with this statement.,I agree with this statement.
Start conversations.,I do not agree with this statement.,I agree with this statement.
Talk to a lot of different people at parties.,I do not agree with this statement.,I agree with this statement.
Act comfortably with others.,I do not agree with this statement.,I agree with this statement.
Am open about my feelings.,I do not agree with this statement.,I agree with this statement.
Radiate joy.,I do not agree with this statement.,I agree with this statement.
Warm up quickly to others.,I do not agree with this statement.,I agree with this statement.
Am interested in people.,I do not agree with this statement.,I agree with this statement.
Cheer people up.,I do not agree with this statement.,I agree with this statement.
Feel at ease with people.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a group.,I do not agree with this statement.,I agree with this statement.
Love to chat.,I do not agree with this statement.,I agree with this statement.
Enjoy bringing people together.,I do not agree with this statement.,I agree with this statement.
Accept people as they are.,I do not agree with this statement.,I agree with this statement.
Have a good word for everyone.,I do not agree with this statement.,I agree with this statement.
Rarely complain.,I do not agree with this statement.,I agree with this statement.
Take things as they come.,I do not agree with this statement.,I agree with this statement.
Feel lucky most of the time.,I do not agree with this statement.,I agree with this statement.
Believe that I am always right.,I do not agree with this statement.,I agree with this statement.
Believe that I am better than others.,I do not agree with this statement.,I agree with this statement.
Deserve special treatment from others.,I do not agree with this statement.,I agree with this statement.
Don't think I should have to wait in lines like others.,I do not agree with this statement.,I agree with this statement.
Feel that others are beneath me.,I do not agree with this statement.,I agree with this statement.
Should get special privileges.,I do not agree with this statement.,I agree with this statement.
Treat people as inferiors.,I do not agree with this statement.,I agree with this statement.
Am an extremely grateful person.,I do not agree with this statement.,I agree with this statement.
Express my thanks to those who care about me.,I do not agree with this statement.,I agree with this statement.
Feel a profound sense of appreciation every day.,I do not agree with this statement.,I agree with this statement.
Feel thankful for what I have received in life.,I do not agree with this statement.,I agree with this statement.
Have been richly blessed in my life.,I do not agree with this statement.,I agree with this statement.
Stop to count my blessings.,I do not agree with this statement.,I agree with this statement.
Don't strive for elegance in my appearance.,I do not agree with this statement.,I agree with this statement.
Would not enjoy being a famous celebrity.,I do not agree with this statement.,I agree with this statement.
Act wild and crazy.,I do not agree with this statement.,I agree with this statement.
Am the life of the party.,I do not agree with this statement.,I agree with this statement.
Amuse my friends.,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a loud crowd.,I do not agree with this statement.,I agree with this statement.
Joke around a lot.,I do not agree with this statement.,I agree with this statement.
Love large parties.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people.,I do not agree with this statement.,I agree with this statement.
Make friends easily.,I do not agree with this statement.,I agree with this statement.
Start conversations.,I do not agree with this statement.,I agree with this statement.
Talk to a lot of different people at parties.,I do not agree with this statement.,I agree with this statement.
Warm up quickly to others.,I do not agree with this statement.,I agree with this statement.
Don't mind being the center of attention.,I do not agree with this statement.,I agree with this statement.
Know how to captivate people.,I do not agree with this statement.,I agree with this statement.
Love surprise parties.,I do not agree with this statement.,I agree with this statement.
Feel comfortable around people,I do not agree with this statement.,I agree with this statement.
Love large parties,I do not agree with this statement.,I agree with this statement.
Start conversations,I do not agree with this statement.,I agree with this statement.
Talk to a lot of different people at parties,I do not agree with this statement.,I agree with this statement.
Enjoy being part of a group.,I do not agree with this statement.,I agree with this statement.
Involve others in what I am doing.,I do not agree with this statement.,I agree with this statement.
Had someone over for dinner.,I do not agree with this statement.,I agree with this statement.
Planned a party.,I do not agree with this statement.,I agree with this statement.
Went to a large party.,I do not agree with this statement.,I agree with this statement.
Went to a small party.,I do not agree with this statement.,I agree with this statement.
Adapt easily to new situations.,I do not agree with this statement.,I agree with this statement.
Am sure of my ground.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Look at the bright side of life.,I do not agree with this statement.,I agree with this statement.
Seldom feel blue.,I do not agree with this statement.,I agree with this statement.
Am comfortable in unfamiliar situations.,I do not agree with this statement.,I agree with this statement.
Feel at ease with people.,I do not agree with this statement.,I agree with this statement.
Love life.,I do not agree with this statement.,I agree with this statement.
Am very pleased with myself.,I do not agree with this statement.,I agree with this statement.
Readily overcome setbacks.,I do not agree with this statement.,I agree with this statement.
Avoid dangerous situations.,I do not agree with this statement.,I agree with this statement.
Would never go hang gliding or bungee jumping.,I do not agree with this statement.,I agree with this statement.
Would never make a high risk investment.,I do not agree with this statement.,I agree with this statement.
Am afraid that my life will be cut short by illness.,I do not agree with this statement.,I agree with this statement.
Am prone to complain about my health.,I do not agree with this statement.,I agree with this statement.
Have medical problems that my doctors don't understand.,I do not agree with this statement.,I agree with this statement.
Often am concerned about diseases I might have.,I do not agree with this statement.,I agree with this statement.
Worry a lot about catching a serious illness.,I do not agree with this statement.,I agree with this statement.
Worry about my health.,I do not agree with this statement.,I agree with this statement.
Am true to my own values.,I do not agree with this statement.,I agree with this statement.
Am trusted to keep secrets.,I do not agree with this statement.,I agree with this statement.
Believe that honesty is the basis for trust.,I do not agree with this statement.,I agree with this statement.
Can be trusted to keep my promises.,I do not agree with this statement.,I agree with this statement.
Keep my promises.,I do not agree with this statement.,I agree with this statement.
Am not easily bothered by things.,I do not agree with this statement.,I agree with this statement.
Enjoy my work.,I do not agree with this statement.,I agree with this statement.
Keep my cool.,I do not agree with this statement.,I agree with this statement.
Feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
Just know that I will be a success.,I do not agree with this statement.,I agree with this statement.
Look at the bright side of life.,I do not agree with this statement.,I agree with this statement.
Seldom feel blue.,I do not agree with this statement.,I agree with this statement.
Keep improving myself.,I do not agree with this statement.,I agree with this statement.
Know what I want.,I do not agree with this statement.,I agree with this statement.
Love life.,I do not agree with this statement.,I agree with this statement.
Never give up hope.,I do not agree with this statement.,I agree with this statement.
Work on improving myself.,I do not agree with this statement.,I agree with this statement.
Can find the positive in what seems negative to others.,I do not agree with this statement.,I agree with this statement.
Look on the bright side.,I do not agree with this statement.,I agree with this statement.
Remain hopeful despite challenges.,I do not agree with this statement.,I agree with this statement.
Think about what is good in my life when I feel down.,I do not agree with this statement.,I agree with this statement.
Will succeed with the goals I set for myself.,I do not agree with this statement.,I agree with this statement.
Am excited to inflict pain on others.,I do not agree with this statement.,I agree with this statement.
Am often out for revenge.,I do not agree with this statement.,I agree with this statement.
Am ready to hit someone when I get angry.,I do not agree with this statement.,I agree with this statement.
Enjoy a good brawl.,I do not agree with this statement.,I agree with this statement.
Get even with others.,I do not agree with this statement.,I agree with this statement.
Hurt people.,I do not agree with this statement.,I agree with this statement.
Like to start fights.,I do not agree with this statement.,I agree with this statement.
Will spread false rumors as a way to hurt others.,I do not agree with this statement.,I agree with this statement.
Act wild and crazy.,I do not agree with this statement.,I agree with this statement.
Am relaxed most of the time.,I do not agree with this statement.,I agree with this statement.
Am willing to try anything once.,I do not agree with this statement.,I agree with this statement.
Enjoy being reckless.,I do not agree with this statement.,I agree with this statement.
Express childlike joy.,I do not agree with this statement.,I agree with this statement.
Have a lot of fun.,I do not agree with this statement.,I agree with this statement.
Have time for play and relaxation.,I do not agree with this statement.,I agree with this statement.
Know how to enjoy myself.,I do not agree with this statement.,I agree with this statement.
Let myself go.,I do not agree with this statement.,I agree with this statement.
Love excitement.,I do not agree with this statement.,I agree with this statement.
Amuse my friends.,I do not agree with this statement.,I agree with this statement.
Joke around a lot.,I do not agree with this statement.,I agree with this statement.
Like to amuse others.,I do not agree with this statement.,I agree with this statement.
Make jokes.,I do not agree with this statement.,I agree with this statement.
Have a great sense of humor.,I do not agree with this statement.,I agree with this statement.
Keep my sense of humor even in gloomy situations.,I do not agree with this statement.,I agree with this statement.
Try to add some humor to whatever I do.,I do not agree with this statement.,I agree with this statement.
Try to have fun in all kinds of situations.,I do not agree with this statement.,I agree with this statement.
Try to tease my friends out of their gloomy moods.,I do not agree with this statement.,I agree with this statement.
Use laughter to brighten the days of others.,I do not agree with this statement.,I agree with this statement.
Am often so assertive or sociable that I surprise myself.,I do not agree with this statement.,I agree with this statement.
Am so good at controlling others that it sometimes scares me.,I do not agree with this statement.,I agree with this statement.
Can play many roles convincingly.,I do not agree with this statement.,I agree with this statement.
Could be a success in many fields.,I do not agree with this statement.,I agree with this statement.
Have an uncommon ability to persuade or inspire others.,I do not agree with this statement.,I agree with this statement.
Have persuaded others to do something really adventurous or crazy.,I do not agree with this statement.,I agree with this statement.
Think I would make a good actor.,I do not agree with this statement.,I agree with this statement.
Would enjoy campaigning for political office.,I do not agree with this statement.,I agree with this statement.
Would make a good night-club comedian.,I do not agree with this statement.,I agree with this statement.
Am a person whose moods go up and down easily.,I do not agree with this statement.,I agree with this statement.
Am considered to be kind of eccentric.,I do not agree with this statement.,I agree with this statement.
Am often so restless that it is impossible for me to sit still.,I do not agree with this statement.,I agree with this statement.
Feel emotions with extreme intensity.,I do not agree with this statement.,I agree with this statement.
Find that my thoughts are racing.,I do not agree with this statement.,I agree with this statement.
Get into moods where I feel very speeded up and irritable.,I do not agree with this statement.,I agree with this statement.
Get so happy or energetic that I am almost giddy.,I do not agree with this statement.,I agree with this statement.
Tend to feel happy and irritable at the same time.,I do not agree with this statement.,I agree with this statement.
Do things that others find strange.,I do not agree with this statement.,I agree with this statement.
Do unexpected things.,I do not agree with this statement.,I agree with this statement.
Enjoy wild flights of fantasy.,I do not agree with this statement.,I agree with this statement.
Like to get lost in thought.,I do not agree with this statement.,I agree with this statement.
Love to daydream.,I do not agree with this statement.,I agree with this statement.
Swim against the current.,I do not agree with this statement.,I agree with this statement.
Take deviant positions.,I do not agree with this statement.,I agree with this statement.
Believe in the importance of art.,I do not agree with this statement.,I agree with this statement.
Have a vivid imagination.,I do not agree with this statement.,I agree with this statement.
Need a creative outlet.,I do not agree with this statement.,I agree with this statement.
Prefer variety to routine.,I do not agree with this statement.,I agree with this statement.
Love to reflect on things.,I do not agree with this statement.,I agree with this statement.
See beauty in things that others might not notice.,I do not agree with this statement.,I agree with this statement.
Indulge in my fantasies.,I do not agree with this statement.,I agree with this statement.
Spend time reflecting on things.,I do not agree with this statement.,I agree with this statement.
Experience my emotions intensely.,I do not agree with this statement.,I agree with this statement.
Get lost in my dreams.,I do not agree with this statement.,I agree with this statement.
Get so involved with things that I forget the time.,I do not agree with this statement.,I agree with this statement.
Do things I later regret.,I do not agree with this statement.,I agree with this statement.
Don't know why I do some of the things I do.,I do not agree with this statement.,I agree with this statement.
Go on binges.,I do not agree with this statement.,I agree with this statement.
Love to eat.,I do not agree with this statement.,I agree with this statement.
Often eat too much.,I do not agree with this statement.,I agree with this statement.
Am not easily affected by my emotions.,I do not agree with this statement.,I agree with this statement.
Seldom get emotional.,I do not agree with this statement.,I agree with this statement.
Always admit it when I make a mistake.,I do not agree with this statement.,I agree with this statement.
Believe there is never an excuse for lying.,I do not agree with this statement.,I agree with this statement.
Easily resist temptations.,I do not agree with this statement.,I agree with this statement.
Rarely overindulge.,I do not agree with this statement.,I agree with this statement.
Rarely talk about sex.,I do not agree with this statement.,I agree with this statement.
Return extra change when a cashier makes a mistake.,I do not agree with this statement.,I agree with this statement.
Tell the truth.,I do not agree with this statement.,I agree with this statement.
Try to follow the rules.,I do not agree with this statement.,I agree with this statement.
Would never cheat on my taxes.,I do not agree with this statement.,I agree with this statement.
Would never take things that aren't mine.,I do not agree with this statement.,I agree with this statement.
Keep my emotions under control.,I do not agree with this statement.,I agree with this statement.
Let others finish what they are saying.,I do not agree with this statement.,I agree with this statement.
Do things by the book.,I do not agree with this statement.,I agree with this statement.
Never splurge.,I do not agree with this statement.,I agree with this statement.
Stick to the rules.,I do not agree with this statement.,I agree with this statement.
Am able to control my cravings.,I do not agree with this statement.,I agree with this statement.
Carry out my plans.,I do not agree with this statement.,I agree with this statement.
Easily resist temptations.,I do not agree with this statement.,I agree with this statement.
Follow through with my plans.,I do not agree with this statement.,I agree with this statement.
Rarely overindulge.,I do not agree with this statement.,I agree with this statement.
Don't care about dressing nicely.,I do not agree with this statement.,I agree with this statement.
Don't care what others think.,I do not agree with this statement.,I agree with this statement.
Feel it's OK that some people don't like me.,I do not agree with this statement.,I agree with this statement.
Sail my own course.,I do not agree with this statement.,I agree with this statement.
Am always busy.,I do not agree with this statement.,I agree with this statement.
Am under constant pressure.,I do not agree with this statement.,I agree with this statement.
Complete tasks successfully.,I do not agree with this statement.,I agree with this statement.
Have too many things to do.,I do not agree with this statement.,I agree with this statement.
Put work above pleasure.,I do not agree with this statement.,I agree with this statement.
Work hard.,I do not agree with this statement.,I agree with this statement.
Always know what I am doing.,I do not agree with this statement.,I agree with this statement.
Carry out my plans.,I do not agree with this statement.,I agree with this statement.
Finish what I start.,I do not agree with this statement.,I agree with this statement.
Get things done quickly.,I do not agree with this statement.,I agree with this statement.
Accomplish a lot of work.,I do not agree with this statement.,I agree with this statement.
Am always on the go.,I do not agree with this statement.,I agree with this statement.
Am exacting in my work.,I do not agree with this statement.,I agree with this statement.
Am ready to do battle for a cause.,I do not agree with this statement.,I agree with this statement.
Do more than what's expected of me.,I do not agree with this statement.,I agree with this statement.
Set high standards for myself and others.,I do not agree with this statement.,I agree with this statement.
Am a goal-oriented person.,I do not agree with this statement.,I agree with this statement.
Am a hard worker.,I do not agree with this statement.,I agree with this statement.
Don't get sidetracked when I work.,I do not agree with this statement.,I agree with this statement.
Don't quit a task before it is finished.,I do not agree with this statement.,I agree with this statement.
Finish things despite obstacles in the way.,I do not agree with this statement.,I agree with this statement.
Am full of ideas.,I do not agree with this statement.,I agree with this statement.
Am good at many things.,I do not agree with this statement.,I agree with this statement.
Carry the conversation to a higher level.,I do not agree with this statement.,I agree with this statement.
Come up with bold plans.,I do not agree with this statement.,I agree with this statement.
Have excellent ideas.,I do not agree with this statement.,I agree with this statement.
Quickly think up new ideas.,I do not agree with this statement.,I agree with this statement.
Have a vivid imagination.,I do not agree with this statement.,I agree with this statement.
Love to think up new ways of doing things.,I do not agree with this statement.,I agree with this statement.
Finish tasks quickly.,I do not agree with this statement.,I agree with this statement.
Get chores done right away.,I do not agree with this statement.,I agree with this statement.
Get things done quickly.,I do not agree with this statement.,I agree with this statement.
Get to work at once.,I do not agree with this statement.,I agree with this statement.
Plunge into tasks with all my heart.,I do not agree with this statement.,I agree with this statement.
Start tasks right away.,I do not agree with this statement.,I agree with this statement.
Am interested in science.,I do not agree with this statement.,I agree with this statement.
Enjoy intellectual games.,I do not agree with this statement.,I agree with this statement.
Find political discussions interesting.,I do not agree with this statement.,I agree with this statement.
Have a rich vocabulary.,I do not agree with this statement.,I agree with this statement.
Love to read challenging material.,I do not agree with this statement.,I agree with this statement.
Would love to explore strange places.,I do not agree with this statement.,I agree with this statement.
Come up with alternatives.,I do not agree with this statement.,I agree with this statement.
Come up with something new.,I do not agree with this statement.,I agree with this statement.
Have a vivid imagination.,I do not agree with this statement.,I agree with this statement.
Put a new perspective on things.,I do not agree with this statement.,I agree with this statement.
Throw a new light on the situation.,I do not agree with this statement.,I agree with this statement.
Counter others' arguments.,I do not agree with this statement.,I agree with this statement.
Know the answers to many questions.,I do not agree with this statement.,I agree with this statement.
Learn quickly.,I do not agree with this statement.,I agree with this statement.
Make insightful remarks.,I do not agree with this statement.,I agree with this statement.
Reflect on things before acting.,I do not agree with this statement.,I agree with this statement.
Tend to analyze things.,I do not agree with this statement.,I agree with this statement.
Use my brain.,I do not agree with this statement.,I agree with this statement.
Weigh the pros against the cons.,I do not agree with this statement.,I agree with this statement.
Carry the conversation to a higher level.,I do not agree with this statement.,I agree with this statement.
Have a rich vocabulary.,I do not agree with this statement.,I agree with this statement.
Have excellent ideas.,I do not agree with this statement.,I agree with this statement.
Quick to understand things.,I do not agree with this statement.,I agree with this statement.
Enjoy thinking about things.,I do not agree with this statement.,I agree with this statement.
Show a mastery of language.,I do not agree with this statement.,I agree with this statement.
Try to understand myself.,I do not agree with this statement.,I agree with this statement.
Use difficult words.,I do not agree with this statement.,I agree with this statement.
Am quick to understand things.,I do not agree with this statement.,I agree with this statement.
Can handle a lot of information.,I do not agree with this statement.,I agree with this statement.
Formulate ideas clearly.,I do not agree with this statement.,I agree with this statement.
Like to solve complex problems.,I do not agree with this statement.,I agree with this statement.
Think quickly.,I do not agree with this statement.,I agree with this statement.
Am full of ideas.,I do not agree with this statement.,I agree with this statement.
Am good at many things.,I do not agree with this statement.,I agree with this statement.
Catch on to things quickly.,I do not agree with this statement.,I agree with this statement.
Have a vivid imagination.,I do not agree with this statement.,I agree with this statement.
Love to read challenging material.,I do not agree with this statement.,I agree with this statement.
Love to think up new ways of doing things.,I do not agree with this statement.,I agree with this statement.
Spend time reflecting on things.,I do not agree with this statement.,I agree with this statement.
Enjoy contemplation.,I do not agree with this statement.,I agree with this statement.
Enjoy thought-provoking movies.,I do not agree with this statement.,I agree with this statement.
Find political discussions interesting.,I do not agree with this statement.,I agree with this statement.
Read quickly.,I do not agree with this statement.,I agree with this statement.
Am interested in many things.,I do not agree with this statement.,I agree with this statement.
Am open to change.,I do not agree with this statement.,I agree with this statement.
Carry the conversation to a higher level.,I do not agree with this statement.,I agree with this statement.
Prefer variety to routine.,I do not agree with this statement.,I agree with this statement.
Want to increase my knowledge.,I do not agree with this statement.,I agree with this statement.
Am quick to understand things.,I do not agree with this statement.,I agree with this statement.
Believe in the importance of art.,I do not agree with this statement.,I agree with this statement.
Can handle a lot of information.,I do not agree with this statement.,I agree with this statement.
Enjoy the beauty of nature.,I do not agree with this statement.,I agree with this statement.
Formulate ideas clearly.,I do not agree with this statement.,I agree with this statement.
Get deeply immersed in music.,I do not agree with this statement.,I agree with this statement.
Have a rich vocabulary.,I do not agree with this statement.,I agree with this statement.
Like to solve complex problems.,I do not agree with this statement.,I agree with this statement.
Love to reflect on things.,I do not agree with this statement.,I agree with this statement.
Need a creative outlet.,I do not agree with this statement.,I agree with this statement.
See beauty in things that others might not notice.,I do not agree with this statement.,I agree with this statement.
Think quickly.,I do not agree with this statement.,I agree with this statement.
Am interested in many things.,I do not agree with this statement.,I agree with this statement.
Find political discussions interesting.,I do not agree with this statement.,I agree with this statement.
Love to learn new things.,I do not agree with this statement.,I agree with this statement.
Love to read challenging material.,I do not agree with this statement.,I agree with this statement.
Want to increase my knowledge.,I do not agree with this statement.,I agree with this statement.
Believe in the importance of art.,I do not agree with this statement.,I agree with this statement.
Enjoy discussing movies and books with others.,I do not agree with this statement.,I agree with this statement.
Enjoy examining myself and my life.,I do not agree with this statement.,I agree with this statement.
Have a rich vocabulary.,I do not agree with this statement.,I agree with this statement.
Try to examine myself objectively.,I do not agree with this statement.,I agree with this statement.
Let a child win a game.,I do not agree with this statement.,I agree with this statement.
Played with a child.,I do not agree with this statement.,I agree with this statement.
Read a story to a child.,I do not agree with this statement.,I agree with this statement.
Read the comics to a child.,I do not agree with this statement.,I agree with this statement.
Served as a baby sitter.,I do not agree with this statement.,I agree with this statement.
Took a child on an outing.,I do not agree with this statement.,I agree with this statement.
Bought a book about the things that I collect.,I do not agree with this statement.,I agree with this statement.
Bought something for my collection.,I do not agree with this statement.,I agree with this statement.
Read a book about the things that I collect.,I do not agree with this statement.,I agree with this statement.
Traded something in my collection.,I do not agree with this statement.,I agree with this statement.
Worked on my collection.,I do not agree with this statement.,I agree with this statement.
Looked up information on the Internet.,I do not agree with this statement.,I agree with this statement.
Played a computer game.,I do not agree with this statement.,I agree with this statement.
Read news on the Internet.,I do not agree with this statement.,I agree with this statement.
Sent a message by electronic mail (e-mail).,I do not agree with this statement.,I agree with this statement.
Surfed the Internet.,I do not agree with this statement.,I agree with this statement.
Used a computer.,I do not agree with this statement.,I agree with this statement.
Became intoxicated.,I do not agree with this statement.,I agree with this statement.
